"chủ đề","tình huống","câu tiếng anh"
"Du lịch","Hotel","Is breakfast included?"
"Du lịch","Hotel","Can I get an extra towel?"
"Du lịch","Hotel","Is there free WiFi here?"
"Du lịch","Hotel","Where is the swimming pool?"
"Du lịch","Hotel","Could I change my room?"
"Du lịch","Hotel","Can you recommend a good restaurant nearby?"
"Du lịch","Hotel","How do I get to the city center?"
"Du lịch","Directions","Excuse me, how do I get to the museum?"
"Du lịch","Directions","Is it within walking distance?"
"Du lịch","Directions","Could you show me on the map?"
"Du lịch","Directions","Which bus goes to the city center?"
"Du lịch","Directions","How long does it take to get there?"
"Du lịch","Directions","Is there a subway station nearby?"
"Du lịch","Directions","Can I walk there from here?"
"Du lịch","Directions","Is it far from here?"
"Du lịch","Directions","What’s the fastest way to get there?"
"Du lịch","Directions","Are there any landmarks I should look for?"
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","From my point of view, this policy is effective."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","To illustrate, consider the following example."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","On the other hand, there are clear drawbacks."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","As a result, overall productivity improved."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","In conclusion, the benefits outweigh the costs."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","It is widely believed that education is vital."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","I strongly agree with this statement."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","There are several reasons for this."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","For example, many people prefer remote work."
"Thi cử (IELTS/TOEFL)","Opinions & Linkers","However, some may disagree."
"Thi cử (IELTS/TOEFL)","Describing Trends","The graph shows a significant increase."
"Thi cử (IELTS/TOEFL)","Describing Trends","There was a gradual decline over the years."
"Thi cử (IELTS/TOEFL)","Describing Trends","The figures remained stable."
"Thi cử (IELTS/TOEFL)","Describing Trends","Sales peaked in July."
"Thi cử (IELTS/TOEFL)","Describing Trends","This trend is expected to continue."
"Thi cử (IELTS/TOEFL)","Describing Trends","The population has doubled since 2000."
"Thi cử (IELTS/TOEFL)","Describing Trends","Comparing the two charts, several differences appear."
"Thi cử (IELTS/TOEFL)","Describing Trends","Unemployment rates fell sharply last year."
"Thi cử (IELTS/TOEFL)","Describing Trends","The number of students has been rising."
"Thi cử (IELTS/TOEFL)","Describing Trends","Overall, the results are promising."

